puesto,empresa,info_completa,enlace,ciudad
Analista Real Estate - Data Analyst,HAYS,Madrid (Híbrido) - 09/04/2026 Actualizada,https://www.tecnoempleo.com/analista-real-estate-data-analyst-hays/fabric-sql/rf-17f8179ea2bee33c2741,Madrid
Data Engineer Analyst,UST,100% remoto - 06/04/2026,https://www.tecnoempleo.com/data-engineer-analyst-ust/python-pandas/rf-7d011a31a21b8368644a,100% remoto - 06/04/2026
Senior It Data Analyst,Randstad ES,Barcelona - 06/04/2026,https://www.tecnoempleo.com/senior-it-data-analyst-randstad-es/sap-hana/rf-a979184872c3f333ff4b,Barcelona - 06/04/2026
Data Analyst (Intenational Bank),Randstad ES,Barcelona - 03/04/202624.000€ - 27.000€ b/a,https://www.tecnoempleo.com/data-analyst-intenational-bank-randstad-es/data/rf-accb1275529bb3890b42,Barcelona - 03/04/202624.000€ - 27.000€ b/a
Data Architect / Data Architecture Lead,Michael Page,Madrid (Híbrido) - 30/03/202654.000€ - 72.000€ b/a,https://www.tecnoempleo.com/data-architect-data-architecture-lead-michael-page/edm-dwh/rf-b4c11a0772ee53d6a74b,Madrid
Data Engineer Analyst,Digital Talent Agency,100% remoto - 30/03/2026,https://www.tecnoempleo.com/data-engineer-analyst-digital-talent-agency/sql-python/rf-d9411bd5a2dc53587d4f,100% remoto - 30/03/2026
Data Analyst,Talan,Madrid (Híbrido) - 27/03/2026,https://www.tecnoempleo.com/data-analyst-talan/big-data-ai/rf-483717dea22833bc684c,Madrid
Data Analyst,Plexus,Madrid - 17/07/2025,https://www.tecnoempleo.com/data-analyst-plexus/bi/rf-18311a0052639359a441,Madrid - 17/07/2025
Senior Data Analyst,Deloitte,Madrid (Híbrido) - 31/03/2025,https://www.tecnoempleo.com/senior-data-analyst-deloitte/data/rf-14ad138fb2620387d54d,Madrid
Senior BI Analyst,Michael Page,Madrid (Híbrido) - 01/04/2026,https://www.tecnoempleo.com/senior-bi-analyst-michael-page/power-bi-sql/rf-cd121262922b13487d43,Madrid
AI-Augmented Functional Engineer (Senior BA),Talan,Málaga (Híbrido) - 27/03/2026,https://www.tecnoempleo.com/ai-augmented-functional-engineer-senior-ba-talan/big-data-sql/rf-9fdf1fdc22df53210344,Málaga
Market Risk IT Analyst,Talan,Málaga - 27/03/2026,https://www.tecnoempleo.com/market-risk-it-analyst-talan/big-data-ai/rf-373210d6b27b9305b74f,Málaga - 27/03/2026
Senior Data Analyst (f/m/d),Axpo Group,Madrid (Híbrido) - 09/04/2026 Actualizada,https://www.tecnoempleo.com/senior-data-analyst-f-m-d-axpo-group/python-sql/rf-f4921a6a02134371ef49,Madrid
Data Analyst - Credit Risk & Underwriting,Ebury,Madrid (Híbrido) - 09/04/2026 Actualizada,https://www.tecnoempleo.com/data-analyst-credit-risk-underwriting-ebury/sql-python/rf-3eb01595322833134a49,Madrid
Data Analyst - Fincrime Reporting,Ebury,Málaga (Híbrido) y otras - 09/04/2026 Actualizada,https://www.tecnoempleo.com/data-analyst-fincrime-reporting-ebury/sql-dbt/rf-35ce116632eab3cce94e,Málaga
Senior Data Analyst - AI Personalisation,Ebury,Madrid (Híbrido) y otras - 09/04/2026 Actualizada,https://www.tecnoempleo.com/senior-data-analyst-ai-personalisation-ebury/sql-bigquery/rf-cea41f13d205e32c3644,Madrid
Product Owner / Data analyst,Michael Page,Zaragoza (Presencial) - 09/04/2026 Actualizada,https://www.tecnoempleo.com/product-owner-data-analyst-michael-page/sql-python/rf-b2231ed612dc9376b04a,Zaragoza
Data Analyst (Spark/Scala),UST,100% remoto - 08/04/2026,https://www.tecnoempleo.com/data-analyst-spark-scala-ust/etl/rf-5d4318e3a2a4c3d84e4d,100% remoto - 08/04/2026
